gene,orf name,description,functional category,slide(s),mating type,source of deletion mutant(s),primary Hybset(s),responsive/non-responsive,"nr. sign. changes (p<0.05, FC>1.7)",profile first published
YAF9,YNL107W,"Subunit of both the NuA4 histone H4 acetyltransferase complex and the SWR1 complex, may function to antagonize silencing near telomeres; interacts directly with Swc4p, has homology to human leukemogenic protein AF9, contains a YEATS domain",chromatin factor,SHE_00008329_S01 / JBE_00009143_S01,MATalpha,Open Biosystems / Open Biosystems,HTP025 / HTP025,responsive mutant,41,3
YKU70,YMR284W,"Subunit of the telomeric Ku complex (Yku70p-Yku80p), involved in telomere length maintenance, structure and telomere position effect; relocates to sites of double-strand cleavage to promote nonhomologous end joining during DSB repair",chromatin factor,TLS_00007135_S01 / TLS_00007136_S01,MATalpha,Open Biosystems / Open Biosystems,TLS039 / TLS039,responsive mutant,6,3
YKU80,YMR106C,"Subunit of the telomeric Ku complex (Yku70p-Yku80p), involved in telomere length maintenance, structure and telomere position effect; relocates to sites of double-strand cleavage to promote nonhomologous end joining during DSB repair",chromatin factor,TLS_00007137_S01 / TLS_00007138_S01,MATalpha,Open Biosystems / Open Biosystems,TLS039 / TLS039,responsive mutant,6,3
YNG1,YOR064C,"Subunit of the NuA3 histone acetyltransferase complex that acetylates histone H3; contains PHD finger domain that interacts with methylated histone H3, has similarity to the human tumor suppressor ING1",chromatin factor,NBR_00003113_S01 / NBR_00003114_S01,MATa,"Geli lab, CNRS / Geli lab, CNRS",NBR015 / NBR015,non-responsive mutant,3,3
APN1,YKL114C,"Major apurinic/apyrimidinic endonuclease, 3'-repair diesterase involved in repair of DNA damage by oxidation and alkylating agents; also functions as a 3'-5' exonuclease to repair 7,8-dihydro-8-oxodeoxyguanosine",DNA replication and repair,JBE_00010017_S01 / JBE_00010016_S01,MATalpha,"Holstege lab, UMC Utrecht / Holstege lab, UMC Utrecht",HTP104 / HTP104,non-responsive mutant,1,This study
APN2,YBL019W,Class II abasic (AP) endonuclease involved in repair of DNA damage; homolog of human HAP1 and E. coli exoIII,DNA replication and repair,JBE_00009163_S01 / JBE_00008158_S01,MATalpha,Open Biosystems / Open Biosystems,HTP045 / HTP045,responsive mutant,10,This study
BDF2,YDL070W,Protein involved in transcription initiation at TATA-containing promoters; associates with the basal transcription factor TFIID; contains two bromodomains; corresponds to the C-terminal region of mammalian TAF1; redundant with Bdf1p,DNA replication and repair,SHE_00008316_S01,MATalpha,Open Biosystems,HTP019,non-responsive mutant,1,This study
CHL1,YPL008W,"Probable DNA helicase; involved in sister-chromatid cohesion and genome integrity; interacts with ECO1 and CTF18; mutants are defective in silencing, rDNA recombination, aging and the heat shock response; FANCJ-like helicase family member; mutations in the human homolog, DDX11/ChLR1, cause Warsaw breakage syndrome",DNA replication and repair,JBE_00009014_S01 / JBE_00010002_S01,MATalpha,Open Biosystems / Open Biosystems,HTP056 / HTP104,responsive mutant,4,This study
CKB1,YGL019W,"Beta regulatory subunit of casein kinase 2 (CK2), a Ser/Thr protein kinase with roles in cell growth and proliferation; CK2, comprised of CKA1, CKA2, CKB1 and CKB2, has many substrates including transcription factors and all RNA polymerases",DNA replication and repair,IC_00003159_S01 / IC_00003158_S01,MATalpha,Euroscarf / Euroscarf,IC021 / IC021,responsive mutant,38,This study
CKB2,YOR039W,"Beta' regulatory subunit of casein kinase 2 (CK2), a Ser/Thr protein kinase with roles in cell growth and proliferation; CK2, comprised of CKA1, CKA2, CKB1 and CKB2, has many substrates including transcription factors and all RNA polymerase",DNA replication and repair,IC_00003161_S01 / IC_00003160_S01,MATalpha,Euroscarf / Euroscarf,IC021 / IC021,responsive mutant,51,This study
CTF18,YMR078C,Subunit of a complex with Ctf8p that shares some subunits with Replication Factor C and is required for sister chromatid cohesion; may have overlapping functions with Rad24p in the DNA damage replication checkpoint,DNA replication and repair,JBE_00008869_S01 / TLS_00009668_S01,MATalpha,Open Biosystems / Open Biosystems,HTP058 / HTP058,responsive mutant,51,This study
CTF4,YPR135W,"Chromatin-associated protein, required for sister chromatid cohesion; interacts with DNA polymerase alpha (Pol1p) and may link DNA synthesis to sister chromatid cohesion",DNA replication and repair,JBE_00009558_S01 / JBE_00010117_S01,MATalpha,Euroscarf / Euroscarf,HTP096 / HTP096,responsive mutant,82,This study
CTF8,YHR191C,Subunit of a complex with Ctf18p that shares some subunits with Replication Factor C and is required for sister chromatid cohesion,DNA replication and repair,JBE_00008872_S01 / MBR_00011518_S01,MATalpha,Open Biosystems / Open Biosystems,HTP058 / HTP136,responsive mutant,18,This study
DCC1,YCL016C,"Subunit of a complex with Ctf8p and Ctf18p that shares some components with Replication Factor C, required for sister chromatid cohesion and telomere length maintenance",DNA replication and repair,TLS_00009827_S01 / JBE_00010326_S01,MATalpha,Euroscarf / Euroscarf,HTP100 / HTP100,responsive mutant,32,This study
DDR48,YMR173W,"DNA damage-responsive protein, expression is increased in response to heat-shock stress or treatments that produce DNA lesions; contains multiple repeats of the amino acid sequence NNNDSYGS",DNA replication and repair,JBE_00008849_S01 / TLS_00009672_S01,MATalpha,Open Biosystems / Open Biosystems,HTP060 / HTP060,responsive mutant,12,This study
DEF1,YKL054C,"RNAPII degradation factor, forms a complex with Rad26p in chromatin, enables ubiquitination and proteolysis of RNAPII present in an elongation complex; mutant is deficient in Zip1p loading onto chromosomes during meiosis",DNA replication and repair,MMK_00007267_S01 / MMK_00007268_S01,MATalpha,"Holstege lab, UMC Utrecht / Holstege lab, UMC Utrecht",MMK028 / MMK028,responsive mutant,299,This study
DIN7,YDR263C,"Mitochondrial nuclease functioning in DNA repair and replication, modulates the stability of the mitochondrial genome, induced by exposure to mutagens, also induced during meiosis at a time nearly coincident with commitment to recombination",DNA replication and repair,JBE_00008866_S01,MATalpha,Open Biosystems,HTP058,non-responsive mutant,1,This study
DNL4,YOR005C,"DNA ligase required for nonhomologous end-joining (NHEJ), forms stable heterodimer with required cofactor Lif1p, interacts with Nej1p; involved in meiosis, not essential for vegetative growth",DNA replication and repair,JBE_00009300_S01,MATalpha,Open Biosystems,HTP053,non-responsive mutant,0,This study
DOA1,YKL213C,"WD repeat protein required for ubiquitin-mediated protein degradation, forms complex with Cdc48p, plays a role in controlling cellular ubiquitin concentration; also promotes efficient NHEJ in postdiauxic/stationary phase",DNA replication and repair,LPA_00003739_S01 / LPA_00003738_S01,MATalpha,Open Biosystems / Open Biosystems,LPA022 / LPA022,responsive mutant,30,This study
DPB3,YBR278W,"Third-largest subunit of DNA polymerase II (DNA polymerase epsilon), required to maintain fidelity of chromosomal replication and also for inheritance of telomeric silencing; mRNA abundance peaks at the G1/S boundary of the cell cycle",DNA replication and repair,JBE_00008501_S01 / JBE_00009168_S01,MATalpha,Open Biosystems / Open Biosystems,HTP037 / HTP037,responsive mutant,7,This study
ELG1,YOR144C,Subunit of an alternative replication factor C complex important for DNA replication and genome integrity; suppresses spontaneous DNA damage; involved in homologous recombination-mediated repair and telomere homeostasis,DNA replication and repair,TLS_00009650_S01 / JBE_00010101_S01,MATalpha,Open Biosystems / Open Biosystems,HTP086 / HTP086,responsive mutant,8,This study
EST1,YLR233C,TLC1 RNA-associated factor involved in telomere length regulation as recruitment subunit of telomerase; has G-quadruplex promoting activity that is required for telomere elongation; possible role in activating telomere-bound Est2p-TLC1-RNA,DNA replication and repair,JBE_00009042_S01 / TLS_00009679_S01,MATalpha,Open Biosystems / Open Biosystems,HTP072 / HTP072,responsive mutant,14,This study
EST2,YLR318W,"Reverse transcriptase subunit of the telomerase holoenzyme, essential for telomerase core catalytic activity, involved in other aspects of telomerase assembly and function; mutations in human homolog are associated with aplastic anemia",DNA replication and repair,JBE_00009456_S01 / JBE_00010041_S01,MATalpha,Open Biosystems / Open Biosystems,HTP068 / HTP068,non-responsive mutant,1,This study
EST3,YIL009C-A,"Component of the telomerase holoenzyme, involved in telomere replication",DNA replication and repair,MBR_00011130_S01 / MBR_00011131_S01,MATalpha,Open Biosystems / Open Biosystems,HTP133 / HTP133,responsive mutant,135,This study
EXO1,YOR033C,"5'-3' exonuclease and flap-endonuclease involved in recombination, double-strand break repair and DNA mismatch repair; member of the Rad2p nuclease family, with conserved N and I nuclease domains",DNA replication and repair,JBE_00009302_S01 / JBE_00009761_S01,MATalpha,Open Biosystems / Open Biosystems,HTP053 / HTP053,responsive mutant,15,This study
FOB1,YDR110W,"Nucleolar protein that binds the rDNA replication fork barrier (RFB) site; required for replication fork blocking, recombinational hotspot activity, condensin recruitment to RFB and rDNA repeat segregation; related to retroviral integrases",DNA replication and repair,JBE_00009312_S01,MATalpha,Open Biosystems,HTP054,non-responsive mutant,0,This study
HAM1,YJR069C,"Nucleoside triphosphate pyrophosphohydrolase; active against a wide range of substrates including ITP, dITP and XTP; mediates exclusion of noncanonical purines and pyrimadines from deoxyribonucleoside triphosphate pools; mutant is sensitive to the base analog 6-N-hydroxylaminopurine",DNA replication and repair,JBE_00009978_S01,MATalpha,Open Biosystems,HTP101,non-responsive mutant,0,This study
HCS1,YKL017C,Hexameric DNA polymerase alpha-associated DNA helicase A involved in lagging strand DNA synthesis; contains single-stranded DNA stimulated ATPase and dATPase activities; replication protein A stimulates helicase and ATPase activities,DNA replication and repair,JBE_00009325_S01,MATalpha,Open Biosystems,HTP055,non-responsive mutant,0,This study
HNT3,YOR258W,"DNA 5' AMP hydrolase involved in DNA repair; member of the histidine triad (HIT) superfamily of nucleotide-binding proteins; homolog of Aprataxin, a Hint related protein that is mutated in individuals with ataxia with oculomotor apraxia",DNA replication and repair,JBE_00009074_S01 / TLS_00009686_S01,MATalpha,Open Biosystems / Open Biosystems,HTP074 / HTP074,responsive mutant,11,This study
SRS2,YJL092W,"DNA helicase and DNA-dependent ATPase involved in DNA repair and checkpoint recovery, needed for proper timing of commitment to meiotic recombination and transition from Meiosis I to II; blocks trinucleotide repeat expansion; affects genome stability",DNA replication and repair,JBE_00009082_S01,MATalpha,Open Biosystems,HTP079,non-responsive mutant,1,This study
LIF1,YGL090W,Component of the DNA ligase IV complex that mediates nonhomologous end joining in DNA double-strand break repair; physically interacts with Dnl4p and Nej1p; homologous to mammalian XRCC4 protein,DNA replication and repair,JBE_00008718_S01,MATalpha,Open Biosystems,HTP045,non-responsive mutant,0,This study
MAG1,YER142C,3-methyl-adenine DNA glycosylase involved in protecting DNA against alkylating agents; initiates base excision repair by removing damaged bases to create abasic sites that are subsequently repaired,DNA replication and repair,JBE_00009422_S01,MATalpha,Open Biosystems,HTP061,non-responsive mutant,0,This study
MET18,YIL128W,"DNA repair and TFIIH regulator, required for both nucleotide excision repair (NER) and RNA polymerase II (RNAP II) transcription; involved in telomere maintenance",DNA replication and repair,DvL_00010885_S01 / DvL_00010886_S01,MATalpha,"Holstege lab, UMC Utrecht / Holstege lab, UMC Utrecht",HTP126 / HTP126,responsive mutant,41,This study
MGS1,YNL218W,Protein with DNA-dependent ATPase and ssDNA annealing activities involved in maintenance of genome; interacts functionally with DNA polymerase delta; homolog of human Werner helicase interacting protein (WHIP),DNA replication and repair,MMK_00004506_S01 / MMK_00004505_S01,MATalpha,Open Biosystems / Open Biosystems,MMK017 / MMK017,non-responsive mutant,0,This study
MGT1,YDL200C,DNA repair methyltransferase (6-O-methylguanine-DNA methylase) involved in protection against DNA alkylation damage,DNA replication and repair,JBE_00008889_S01,MATalpha,Open Biosystems,HTP059,non-responsive mutant,0,This study
MIP1,YOR330C,"Mitochondrial DNA polymerase; conserved C-terminal segment is required for the maintenance of mitochondrial genome; mutations in the human ortholog POLG are associated with Alpers-Huttenlocher syndrome (AHS) and other mitochondrial diseases; Mip1p is the single subunit of mitochondrial DNA polymerase in yeast, in contrast to metazoans in which there is a complex of a catalytic subunit and an accessory subunit",DNA replication and repair,JBE_00009186_S01 / TLS_00009862_S01,MATalpha,Open Biosystems / Open Biosystems,HTP089 / HTP089,non-responsive mutant,3,This study
MPH1,YIR002C,"3'-5' DNA helicase involved in error-free bypass of DNA lesions; binds to flap DNA in an error-free bypass pathway and stimulates the activity of Rad27p and Dna2p; mutations confer a mutator phenotype; similarity to FANCM, a human Fanconi anemia complementation group protein that along with the MHF complex is involved in stabilizing and remodeling blocked replication forks; member of the SF2 DExD/H superfamily of helicases",DNA replication and repair,JBE_00009065_S01,MATalpha,Open Biosystems,HTP078,non-responsive mutant,1,This study
MSH5,YDL154W,"Protein of the MutS family, forms a dimer with Msh4p that facilitates crossovers between homologs during meiosis; msh5-Y823H mutation confers tolerance to DNA alkylating agents; homologs present in C. elegans and humans",DNA replication and repair,JBE_00008726_S01,MATalpha,Open Biosystems,HTP046,non-responsive mutant,3,This study
MUM2,YBR057C,"Cytoplasmic protein essential for meiotic DNA replication and sporulation; interacts with Orc2p, which is a component of the origin recognition complex",DNA replication and repair,JBE_00008511_S01 / JBE_00009174_S01,MATalpha,Open Biosystems / Open Biosystems,HTP038 / HTP038,responsive mutant,18,This study
MUS81,YDR386W,"Subunit of the structure-specific Mms4p-Mus81p endonuclease that cleaves branched DNA; involved in DNA repair, replication fork stability, and joint molecule formation/resolution during meiotic recombination; helix-hairpin-helix protein; phosphorylation of the non-catalytic subunit Mms4p by Cdc28p and Cdcp during mitotic cell cycle activates the function of Mms4p-Mus81p",DNA replication and repair,JBE_00009315_S01 / JBE_00009736_S01,MATalpha,Open Biosystems / Open Biosystems,HTP054 / HTP054,responsive mutant,9,This study
